col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
30	7	0	0.0053	0.0564	0.5000	0.4833	0.6650	0.0267	0.0090	0.0002	1	1
24	6	0	0.0380	0.1815	0.6875	0.8167	5.3838	0.0300	0.0182	0.0002	0	1
15	6	0	0.0058	0.0453	0.4375	0.5167	1.3742	0.0121	0.0101	0.0002	1	1
21	7	0	0.0029	0.0301	0.4375	0.4833	0.7126	0.0000	0.0013	0.0002	0	1
39	7	0	0.0130	0.0683	0.4688	0.5333	2.0551	0.0300	0.0056	0.0002	0	1
27	6	0	0.0037	0.0204	0.4062	0.4833	2.0020	0.0175	0.0055	0.0002	1	1
35	6	0	0.0019	0.0460	0.4062	0.5667	1.2506	0.0140	0.0089	0.0002	1	1
38	6	0	0.0024	0.0531	0.5000	0.6000	1.2022	0.0157	0.0092	0.0002	1	1
41	7	0	0.0429	0.2366	0.6875	0.9833	5.9754	0.0300	0.0300	0.0002	0	1
45	7	0	0.0319	0.1600	0.6250	0.9167	5.6503	0.0300	0.0300	0.0002	0	1
46	7	0	0.0093	0.0554	0.4062	0.5333	1.6625	0.0300	0.0095	0.0002	0	1
4	8	0	0.0007	0.0203	0.4062	0.4500	0.6773	0.0080	0.0078	0.0002	1	1
28	7	0	0.0420	0.2471	0.4688	0.7500	5.2292	0.0300	0.0162	0.0002	0	1
1	8	0	0.0359	0.1969	0.6250	0.9500	5.9040	0.0300	0.0300	0.0002	0	1
17	7	0	0.0013	0.0232	0.3125	0.4333	0.6001	0.0145	0.0063	0.0002	1	1
5	8	0	0.0425	0.2082	0.8125	1.0000	4.4492	0.0300	0.0127	0.0002	0	1
13	8	0	0.0056	0.0885	0.4375	0.5167	1.3928	0.0050	0.0130	0.0002	1	1
40	7	0	0.0027	0.0409	0.4375	0.5000	1.1762	0.0196	0.0033	0.0002	1	1
6	8	0	0.0197	0.0973	0.5312	0.7000	3.9912	0.0300	0.0300	0.0002	0	1
25	8	0	0.0121	0.1332	0.4062	0.5000	2.3025	0.0000	0.0140	0.0002	0	1
24	8	0	0.0207	0.1543	0.4688	0.6667	3.5044	0.0059	0.0107	0.0002	1	1
15	7	0	0.0029	0.0565	0.4375	0.5333	1.5741	0.0122	0.0126	0.0002	1	1
